what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275322549454
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1275322549485
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275322549563
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275322554313
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275322594449
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275322620308
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275322620464
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275322622089
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275322622371
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1275322623121
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1275322623199
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1275322623246
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1275322623261
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1275322623324
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1275322623386
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1275322623433
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.302.v200905260749,"org.eclipse.jst.ws.axis2.ui",1275322623433
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.core",1275322623433
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.409.v200911241856,"org.eclipse.jst.ws.creation.ui",1275322623511
