what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20091023-1300,"org.eclipse.team.svn.mylyn",1275309811434
started,bundle,org.eclipse.team.svn.ui,0.7.8.I20091023-1300,"org.eclipse.team.svn.ui",1275309811434
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1275309811434
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1275309811434
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1275309811434
os,sysinfo,,,"win32",1275309811450
arch,sysinfo,,,"x86",1275309811450
ws,sysinfo,,,"win32",1275309811450
locale,sysinfo,,,"de_DE",1275309811450
processors,sysinfo,,,"1",1275309811450
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1275309811450
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1275309811450
java.specification.name,sysinfo,,,"Java Platform API Specification",1275309811450
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275309811450
java.specification.version,sysinfo,,,"1.6",1275309811450
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1275309811450
java.version,sysinfo,,,"1.6.0_20",1275309811450
java.vm.info,sysinfo,,,"mixed mode, sharing",1275309811450
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275309811450
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275309811450
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275309811450
java.vm.specification.version,sysinfo,,,"1.0",1275309811450
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1275309811450
java.vm.version,sysinfo,,,"16.3-b01",1275309811450
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1275309812450
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1275309812450
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1275309833653
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1275309836747
started,bundle,org.eclipse.jst.j2ee.core,1.1.301.v200911302230,"org.eclipse.jst.j2ee.core",1275309836747
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1275309836747
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1275309836747
